file_name,gamma,t_half_2,t_half_3,converged,iterations,objective_value
bs_180218_155640.csv,2.80401594947,5.05032800644,32.7114269706,True,69,138.347632945
bs_180218_155645.csv,2.15041086213,4.81347663327,33.8024086782,True,68,168.281349429
bs_180218_155649.csv,2.06317209726,3.98779280547,39.6323056226,True,73,163.922962649
bs_180218_155655.csv,2.0310674403,4.00445704962,33.349322458,True,80,166.592528844
bs_180218_155700.csv,2.15228914778,4.20497178003,33.8989126844,True,63,180.816662455
bs_180218_155705.csv,2.0479984667,3.99237010112,33.1851755194,True,59,156.754704896
bs_180218_155709.csv,2.07577294594,4.25915207721,31.5611982444,True,58,173.227780417
bs_180218_155714.csv,2.1126655335,3.90410251578,29.0507114365,True,65,164.690608465
bs_180218_155718.csv,2.93979597643,5.28056659207,33.9136394114,True,74,149.034664198
bs_180218_155724.csv,2.04072846493,4.44706806698,36.6797823881,True,74,170.297561834
bs_180218_155729.csv,1.79789077491,3.38303625419,28.5417074797,True,73,172.715870508
bs_180218_155734.csv,2.62999497797,4.93096209733,28.9772978527,True,67,152.288830921
bs_180218_155739.csv,2.73408171038,6.0988001336,35.1463264073,True,69,145.821044028
bs_180218_155744.csv,2.38005615985,4.69556170595,32.5893504259,True,72,149.159272028
bs_180218_155749.csv,2.15375557102,4.10201002847,30.2367271323,True,67,163.19750789
bs_180218_155753.csv,2.64191053773,4.55681052312,28.8545059395,True,67,144.094711322
bs_180218_155758.csv,1.95545367583,4.38180321678,34.1693941077,True,66,165.058404292
bs_180218_155802.csv,2.21928339265,4.61219629994,34.3652240188,True,58,169.983045411
bs_180218_155806.csv,1.96470045179,4.31888824184,34.1002257967,True,60,163.621878661
bs_180218_155810.csv,2.14425596937,4.34733311944,29.4213841975,True,65,172.607887884
bs_180218_155815.csv,1.83023081025,3.41961715618,34.253088846,True,70,168.800786616
bs_180218_155820.csv,2.38897240185,4.91504355024,29.4358534995,True,82,156.40170274
bs_180218_155825.csv,1.6991551754,3.02697931083,31.9693354907,True,83,164.155909611
bs_180218_155831.csv,2.35757642469,5.05595668066,37.4460598091,True,76,165.03832881
bs_180218_155836.csv,2.24932756825,4.16958142384,30.5108970848,True,78,173.609425911
bs_180218_155842.csv,2.134609198,4.31275681013,35.30351641,True,59,170.525587325
bs_180218_155847.csv,2.13607177452,4.37096204681,34.55701379,True,55,166.885632912
bs_180218_155851.csv,2.26619268204,3.98237848599,31.6850134376,True,60,167.699358232
bs_180218_155856.csv,2.04211772579,4.41362364376,35.0518502476,True,57,166.898120527
bs_180218_155900.csv,2.05328344278,4.13784473882,32.7814990668,True,63,157.344555369
bs_180218_155904.csv,2.0663338016,4.31576316532,31.6203196297,True,56,157.627051059
bs_180218_155908.csv,2.14431058627,4.0030494974,31.389837119,True,57,171.711564525
bs_180218_155912.csv,2.23944658448,4.27743593188,32.8617173492,True,57,160.756943692
bs_180218_155916.csv,1.81741483714,3.87381585893,34.3161680629,True,76,170.698173051
bs_180218_155921.csv,2.10047105748,4.1044899487,26.3126355047,True,71,159.282447932
bs_180218_155925.csv,1.73778242371,2.91979853715,28.1587132028,True,65,169.363730903
bs_180218_155930.csv,2.15637120883,4.46995533223,29.0840122609,True,67,149.860379199
bs_180218_155934.csv,2.23257341273,4.43302577834,38.1120972135,True,71,158.813271946
bs_180218_155939.csv,2.42825890116,5.18017547985,34.3988911934,True,71,166.069087407
bs_180218_155945.csv,2.06538938421,3.7011008606,26.5830272227,True,76,158.712024593
bs_180218_155949.csv,2.58882650222,5.68969523916,44.6076549585,True,97,147.88993773
bs_180218_155956.csv,2.37127253728,4.64550296846,37.8184180979,True,68,162.991526454
bs_180218_160001.csv,1.98715273669,3.819362764,34.3691544728,True,75,160.879759142
bs_180218_160006.csv,2.24593660794,4.93887438346,28.2983843082,True,73,150.947203538
bs_180218_160011.csv,2.22530126929,4.73746110989,36.7225923464,True,66,158.326767243
bs_180218_160015.csv,2.38975277986,4.75983814642,32.9368256093,True,56,155.885046439
bs_180218_160019.csv,2.15419751872,4.76647461372,39.7899738101,True,64,164.64983453
bs_180218_160023.csv,2.23318398307,4.34225422983,31.4981251429,True,66,165.475496606
bs_180218_160028.csv,2.09797846591,3.77155301561,26.4204836396,True,67,167.481882158
bs_180218_160033.csv,2.14851082858,3.9831323587,27.0548464081,True,56,146.659638255
bs_180218_160036.csv,2.04626144736,3.90820857801,33.3397787077,True,72,170.197713353
bs_180218_160042.csv,2.32035872302,4.70279270374,32.2659359731,True,64,157.363975578
bs_180218_160046.csv,2.11513790076,4.40054544508,34.1776684952,True,67,164.129031329
bs_180218_160050.csv,2.35565568421,4.82740208498,34.9292910045,True,69,165.431061207
bs_180218_160055.csv,2.01575143334,3.88796789049,29.6257154321,True,71,159.706012918
bs_180218_160100.csv,2.3839050344,4.71263269552,34.3731338933,True,65,152.161339966
bs_180218_160105.csv,2.03108920976,3.89380933634,26.697616446,True,73,163.534775167
bs_180218_160109.csv,2.4315354483,4.85324618958,39.1459725754,True,82,161.329018471
bs_180218_160116.csv,2.16439095119,4.24267643297,27.4657289829,True,94,156.089610515
bs_180218_160122.csv,2.03766119919,3.89538122481,23.8876348516,True,63,156.843449833
bs_180218_160126.csv,2.22261063719,4.07298926664,33.712950172,True,70,166.600824853
